ID,type,http__www_w3_org_2004_02_skos_core_broader,http__www_w3_org_1999_02_22-rdf-syntax-ns_type,http__purl_org_dc_terms_description,http__www_w3_org_2004_02_skos_core_narrower,http__www_w3_org_2004_02_skos_core_inScheme,http__www_w3_org_2004_02_skos_core_member,http__www_w3_org_2004_02_skos_core_prefLabel
https://aphia.org/ns/traits/fossil_range#ectasian,concept,https://aphia.org/ns/traits/fossil_range#mesoproterozoic,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,ectasian
https://aphia.org/ns/traits/fossil_range#darriwilian,concept,https://aphia.org/ns/traits/fossil_range#ordovician_middle,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,darriwilian
https://aphia.org/ns/traits/fossil_range#paleogene,concept,https://aphia.org/ns/traits/fossil_range#cenozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#paleocene,https://aphia.org/ns/traits/,,paleogene
https://aphia.org/ns/traits/fossil_range#archaen,concept,,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#mesoarchean,https://aphia.org/ns/traits/,,archaen
https://aphia.org/ns/traits/fossil_range#paleocene,concept,https://aphia.org/ns/traits/fossil_range#danian,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,paleocene
https://aphia.org/ns/traits/fossil_range#proterozoic,concept,,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#mesoproterozoic,https://aphia.org/ns/traits/,,proterozoic
https://aphia.org/ns/traits/fossil_range#terreneuvian,concept,https://aphia.org/ns/traits/fossil_range#cambrian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#stage_2,https://aphia.org/ns/traits/,,terreneuvian
https://aphia.org/ns/traits/fossil_range#valanginian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,valanginian
https://aphia.org/ns/traits/fossil_range#santonian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,santonian
https://aphia.org/ns/traits/fossil_range#hirnantian,concept,https://aphia.org/ns/traits/fossil_range#ordovician_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,hirnantian
https://aphia.org/ns/traits/fossil_range#bashkirian,concept,https://aphia.org/ns/traits/fossil_range#pennsylvanian_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,bashkirian
https://aphia.org/ns/traits/fossil_range#orosirian,concept,https://aphia.org/ns/traits/fossil_range#paleoproterozoic,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,orosirian
https://aphia.org/ns/traits/fossil_range#neoproterozoic,concept,https://aphia.org/ns/traits/fossil_range#proterozoic,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#ediacaran,https://aphia.org/ns/traits/,,neoproterozoic
https://aphia.org/ns/traits/fossil_range#stage_3,concept,https://aphia.org/ns/traits/fossil_range#series_2,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,stage 3
https://aphia.org/ns/traits/fossil_range#berriasian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_lower,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,berriasian
https://aphia.org/ns/traits/fossil_range#campanian,concept,https://aphia.org/ns/traits/fossil_range#cretaceous_upper,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,campanian
https://aphia.org/ns/traits/fossil_range#pennsylvanian_middle,concept,https://aphia.org/ns/traits/fossil_range#pennsylvanian,https://aphia.org/ns/attribute-trait/Trait,,https://aphia.org/ns/traits/fossil_range#moscovian,https://aphia.org/ns/traits/,,pennsylvanian middle
https://aphia.org/ns/traits/fossil_range#zanclean,concept,https://aphia.org/ns/traits/fossil_range#pliocene,https://aphia.org/ns/attribute-trait/Trait,,,https://aphia.org/ns/traits/,,zanclean
